tar_area,tar_layer,tar_pop,src_area,src_layer,src_pop,syn_num,w,w_sd
bankssts,II/III,E,posteriorcingulate,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,posteriorcingulate,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,posteriorcingulate,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,posteriorcingulate,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,posteriorcingulate,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,precentral,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,precentral,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,precentral,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,precentral,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,precentral,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,precentral,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,precentral,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,precentral,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,precuneus,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,precuneus,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,precuneus,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,precuneus,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,precuneus,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,precuneus,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,precuneus,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,precuneus,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,rostralanteriorcingulate,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,rostralanteriorcingulate,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,rostralanteriorcingulate,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,rostralanteriorcingulate,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,rostralanteriorcingulate,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,rostralanteriorcingulate,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,rostralanteriorcingulate,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,rostralanteriorcingulate,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,rostralmiddlefrontal,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,rostralmiddlefrontal,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,rostralmiddlefrontal,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,rostralmiddlefrontal,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,rostralmiddlefrontal,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,rostralmiddlefrontal,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,rostralmiddlefrontal,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,rostralmiddlefrontal,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,superiorfrontal,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,superiorfrontal,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,superiorfrontal,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,superiorfrontal,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,superiorfrontal,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,superiorfrontal,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,superiorfrontal,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,superiorfrontal,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,superiorparietal,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,superiorparietal,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,superiorparietal,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,superiorparietal,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,superiorparietal,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,superiorparietal,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,superiorparietal,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,superiorparietal,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,superiortemporal,II/III,E,9049811,16.448836593433423,1.6448836593433425
bankssts,II/III,E,superiortemporal,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,superiortemporal,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,superiortemporal,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,superiortemporal,V,E,8538402,16.448836593433423,1.6448836593433425
bankssts,II/III,E,superiortemporal,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,superiortemporal,VI,E,9531813,16.448836593433423,1.6448836593433425
bankssts,II/III,E,superiortemporal,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,supramarginal,II/III,E,7962900,16.448836593433423,1.6448836593433425
bankssts,II/III,E,supramarginal,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,supramarginal,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,supramarginal,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,supramarginal,V,E,4238094,16.448836593433423,1.6448836593433425
bankssts,II/III,E,supramarginal,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,supramarginal,VI,E,6230361,16.448836593433423,1.6448836593433425
bankssts,II/III,E,supramarginal,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,temporalpole,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,temporalpole,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,temporalpole,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,temporalpole,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,temporalpole,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,temporalpole,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,temporalpole,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,temporalpole,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,transversetemporal,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,transversetemporal,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,transversetemporal,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,transversetemporal,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,transversetemporal,V,E,0,16.448836593433423,1.6448836593433425
